rank,name,level,win
582,군대가기시러어어,484,279
583,캐리나할까,88,165
584,asdsafhgfdgfsdaf,530,185
585,더이상만나,309,126
586,매혹으짜니,333,350
587,Mei Tian Kun,389,105
588,HamBak1,160,128
589,히끼꼬무리,425,285
590,달달하구여,497,483
591,시밤게임,453,347
592,연애꽃,554,96
593,IAKIL,61,242
594,easy for u,116,238
595,Sad ADC,54,109
596,Apex 301,50,134
597,새하얀 thigh,378,219
598,박지복,395,94
599,kiwi doctor,61,221
600,kenzhu Sir,56,177
601,잠 컨,251,123
602,0S20,175,178
603,나는멀리서왔어,60,62
604,MS77,589,221
605,G2 Kabishou,86,220
606,세 긴,208,189
607,kplwvyza,43,88
608,qi2 8guai,46,125
609,LIONISOLATE,98,110
610,볼때마다잘하는놈,114,94
611,준 원,52,70
612,선지자,72,148
613,elole,255,153
614,TOPKING,331,100
615,따봉 람머스,351,234
616,SDX q754739521,109,447
617,김도칠,474,126
618,Oh Lovely,84,71
619,abcdefgaaa,257,267
620,불이과 ,63,177
621,평범한 숟가락,347,308
622,jiba1,116,108
623,ig5522,65,173
624,yaoyaoxiaokeai,60,209
625,T1 포톤,126,153
626,Frog프로그,309,351
627,그랩없는 깡통,75,193
628,공부하기시러요,369,233
629,tes sanbanfu,54,168
630,psss,96,281
631,aner,242,192
632,Kitagawa Kaimu,43,103
633,오또마,598,230
634,조이현누나내꺼,444,149
635,Turned to leave,85,431
636,tianzhijiaozi,122,271
637,광동 광예후,241,226
638,Twitch Tv 쥐린내,437,315
639,okinin,65,252
640,이품진,63,185
641,자신감이 곧 실력,99,141
642,n1u n1u,221,316
643,주니어주니어,547,150
644,weythdjnczxvc,62,241
645,verus pruina,624,208
646,cheng xiao yu ,54,160
647,cosmossss,64,157
648,무채색의 한남자,85,106
649,한 줌의 여유,123,205
650,태기베어,173,64
651,Migung,673,174
652,두꺼비압수,239,353
653,cainiao4hao,45,110
654,Tao yan pian zi,141,230
655,INININNOchat,164,163
656,sksqnf,422,188
657,애디는말안두뤄,865,277
658,렐서폿,303,64
659,버스타고쉔다,131,242
660,나는이륙할것이다,299,301
661,FPX q2380023067f,685,467
662,젤라또 푸딩,200,277
663,Hardcor9,61,177
664,SuperFurryFusion,95,276
665,autumnK,46,126
666,zcxvzxzczcxxz,101,138
667,지조있게,581,321
668,Only1oneTap,66,237
669,너만사랑하고싶어,91,144
670,세마리 도사견,133,311
671,nihao 2022,43,91
672,wulongcha,55,186
673,Forgive my youth,76,192
674,지훈좌의프로토스,89,66
675,화내 지 마12,429,212
676,여자친구 김예원,358,173
677,renyunyiyun,132,182
678,Tempester,404,237
679,Nalalala,304,96
680,Onzed,155,103
681,뜨 출격,428,171
682,마스크쓰기귀차나,107,292
683,dsadsad,277,269
684,zxckasok,55,147
685,말도 안된다1,49,98
686,RoLLin77,89,235
687,2001 03 15,517,92
688,mahavarata,84,347
689,키톤7 ,75,150
690,Leminem,125,324
691,pleataz,574,154
692,zxcasdqwep,54,158
693,우연이 영원히,273,355
694,Pooh n Bene,764,130
695,twitch 야망1,84,152
696,하레온나 fan,58,157
697,fajafa,230,361
698,mingliangxing  z,48,67
699,Q shen,245,175
700,구글에 이블린팀,380,126
701,ASE 3K,321,313
702,xinuwuchang,62,93
703,  tian di you wo,323,103
704,콩나물이좋아1,147,110
705,la elle marie,667,204
706,FATE,356,82
707,mao zedoong,524,207
708,talasha,126,80
709,팽신견,143,193
710,dccc,60,224
711,교생관양,152,160
712,kojhy,69,229
713,asdhaskjdhjaksdh,57,190
714,Saebyuck,292,103
715,매일 어떻게 잘해,236,71
716,과거로돌아가,78,191
717,나이트퓨리의선물,140,181
718,카사돌,191,107
719,골목대장 태훈이,195,77
720,Only A Fool,140,170
721,Jg Gaper,283,294
722,SounDA,222,208
723,새우깡끼룩,319,161
724,허허맨,231,196
725,탈론쓰레기챔프,78,149
726,약속의3코어,127,70
727,젠지 가습기도둑,114,231
728,Mot hai ba bon,53,62
729,SLOW Shiba64,83,91
730,의빈아고생하자,292,81
731,djha,83,234
732,인생걸고태호시티,686,175
733,구글에롤브라더스,415,190
734,OnO  OvO,47,103
735,daniao boy,141,264
736,주상이의모험,259,159
737,물방울석입,298,199
738,BabyHarpSeal,174,77
739,만기퇴소 그림자,150,78
740,카밋포이나,43,93
741,Adiogs,206,408
742,srysrysrysry1,74,58
743,한수한수 ,79,269
744,말 벌 AD,71,58
745,Crulser,737,475
746,haohaohaohao,74,180
747,1997 01 14,55,77
748,Saturday Mornlng,222,214
749,kata 1000,191,113
750,Caesar00,131,201
751,바실라,218,533
752,강미나,65,42
753,Snow Dance9,221,235
754,hanyuanchamei,47,127
755,제리고수 강제리,425,302
756,DoDohyunhyun,78,275
757,asdasdsada,44,106
758,전보억,87,249
759,손오공1,101,157
760,나는쓰레기1,208,419
761,huangshang1,68,52
762,꼭대기,322,103
763,bie fanren,99,164
764,금방1,44,94
765,98kmi,81,156
766,BT Dosa ,347,304
767,두통 멈춰,358,99
768,loseBojji,80,388
769,haipiniuyier,66,126
770,율천고 김솔빈,173,306
771,ADKLNG GOD,127,67
772,고래 칭찬하는,210,201
773,Tiger Den,426,57
774,https www,162,349
775,아모고토모타죠아모고토모타죠,54,158
776,병 굴,249,155
777,Brrain,341,143
778,예진냥이,363,208
779,강의듀오코코팀,45,95
780,aceaco89,45,74
781,Choln,185,95
782,Sg4n,133,118
783,혜지King ,311,158
784,Peak state,60,218
785,alasseo,302,182
786,우산하리보,132,307
787,나 돈코 내밑만기,446,156
788,Nyht,136,229
789,장임박,221,143
790,daesam,148,155
791,sunsunrain,60,231
792,eddie hoang,53,166
793,효명고등학교,76,239
794,yukee,432,146
795,adbaszdskdkdsha,49,94
796,dgwb,99,93
797,간디도롤하면폭력,194,322
798,numanihamaru,53,169
799,구글 이블린팀COM,72,107
800,sadwasdxzcx,57,107
801,뽀삐의 피지컬,288,93
802,DOK SA,332,269
803,SB TOP SRY,172,46
804,kratosgf,108,233
805,WANG PIAO LIANG,145,185
806,미소짓게만드는법,409,105
807,1처형 900골드,225,82
808,지성153,208,183
809,tuiyinjianghu,81,376
810,happy   game ,740,234
811,트위치티비호붕이,233,153
